language,w_FacebookAI_xlm-roberta-large,w_jhu-clsp_mmBERT-base,w_microsoft_mdeberta-v3-base,t,macro_f1
amh,0.5,0.2,0.30000000000000004,0.78,0.7837445484015821
ben,0.9,0.0,0.1,0.13,0.8420821109128844
deu,0.5,0.1,0.4,0.06999999999999999,0.7122163122128109
fas,0.4,0.2,0.4,0.93,0.8211978266809568
hau,0.30000000000000004,0.2,0.5,0.02,0.7932687125994029
hin,0.5,0.1,0.4,0.76,0.8009185300780957
ita,0.6000000000000001,0.1,0.30000000000000004,0.26,0.6670738220080151
khm,0.8,0.0,0.2,0.99,0.7778800285425846
mya,0.2,0.2,0.6000000000000001,0.6,0.8883280966133422
nep,0.6000000000000001,0.1,0.30000000000000004,0.7100000000000001,0.9027183621004324
ori,1.0,0.0,0.0,0.03,0.8177517690220112
pan,0.5,0.1,0.4,0.31,0.8035291398327196
swa,0.2,0.2,0.6000000000000001,0.8,0.8099025438200627
tel,0.5,0.1,0.4,0.9,0.8940729566019678
tur,0.5,0.2,0.30000000000000004,0.66,0.80524378912801
urd,0.7000000000000001,0.1,0.2,0.3,0.7902104831522239
